left: 377, right: 396, top: 61, bot:76, width: 2 
left: 377, right: 396, top: 61, bot:77, width: 2 
left: 377, right: 396, top: 62, bot:77, width: 2 
left: 378, right: 397, top: 61, bot:76, width: 2 
left: 378, right: 397, top: 60, bot:75, width: 2 
left: 378, right: 398, top: 59, bot:75, width: 2 
left: 379, right: 398, top: 59, bot:74, width: 2 
left: 379, right: 398, top: 58, bot:74, width: 2 
left: 379, right: 399, top: 57, bot:73, width: 2 
left: 379, right: 399, top: 57, bot:73, width: 2 
left: 380, right: 399, top: 58, bot:73, width: 2 
left: 380, right: 400, top: 58, bot:73, width: 2 
left: 381, right: 400, top: 57, bot:73, width: 2 
